ep_x,       ep_y,     area,                     toten
#_no-unit,  no-unit,  ang^2,                    Ry
-0.006,     -0.006,   10.77434006297959496274,  -54.86818274
-0.006,     -0.004,   10.79602615926372259076,  -54.86836380
-0.006,     -0.002,   10.81771225554785021879,  -54.86848234
-0.006,     -0.000,   10.83939835183197784681,  -54.86855224
-0.006,     0.002,    10.86108444811610547483,  -54.86856288
-0.006,     0.004,    10.88276980347651571833,  -54.86851312
-0.006,     0.006,    10.90441292618503504397,  -54.86841004
-0.004,     -0.006,   10.79601356356052705386,  -54.86836470
-0.004,     -0.004,   10.81774337434398036879,  -54.86853126
-0.004,     -0.002,   10.83947318512743368371,  -54.86864292
-0.004,     -0.000,   10.86120299591088699864,  -54.86869578
-0.004,     0.002,    10.88293206577062292905,  -54.86869587
-0.004,     0.004,    10.90466187655407624398,  -54.86862674
-0.004,     0.006,    10.92634871376192125652,  -54.86851293
-0.002,     -0.006,   10.81771225554785021879,  -54.86848941
-0.002,     -0.004,   10.83948578083062922062,  -54.86864257
-0.002,     -0.002,   10.86125930611340822245,  -54.86873195
-0.002,     -0.000,   10.88303209047246983976,  -54.86878536
-0.002,     0.002,    10.90480561575524884160,  -54.86876565
-0.002,     0.004,    10.92657914103802784343,  -54.86868475
-0.002,     0.006,    10.94830895182148115836,  -54.86856072
-0.000,     -0.006,   10.83938575612878230990,  -54.86855022
-0.000,     -0.004,   10.86120299591088699864,  -54.86869899
-0.000,     -0.002,   10.88302023569299168738,  -54.86878169
-0.000,     -0.000,   10.90483673455137899160,  -54.86880547
-0.000,     0.002,    10.92665397433348368034,  -54.86878096
-0.000,     0.004,    10.94847121411558836908,  -54.86868899
-0.000,     0.006,    10.97024473939836737092,  -54.86855415
0.002,      -0.006,   10.86105999763343178554,  -54.86856227
0.002,      -0.004,   10.88292021099114477667,  -54.86869570
0.002,      -0.002,   10.90478116527257515231,  -54.86875934
0.002,      -0.000,   10.92664137863028814344,  -54.86877726
0.002,      0.002,    10.94850233291171851908,  -54.86873285
0.002,      0.004,    10.97036254626943151021,  -54.86863683
0.002,      0.006,    10.99217978605153619895,  -54.86848531
0.004,      -0.006,   10.88273349821436387666,  -54.86851702
0.004,      -0.004,   10.90463742607140255469,  -54.86863022
0.004,      -0.002,   10.92654209485215861724,  -54.86868538
0.004,      -0.000,   10.94844602270919729527,  -54.86868939
0.004,      0.002,    10.97035069148995335782,  -54.86863328
0.004,      0.004,    10.99225461934699203585,  -54.86852299
0.004,      0.006,    11.01411483270470502698,  -54.86835617
0.006,      -0.006,   10.90443219020168704159,  -54.86841080
0.006,      -0.004,   10.92637983255805140652,  -54.86851127
0.006,      -0.002,   10.94832821583813315598,  -54.86854987
0.006,      -0.000,   10.97027585819449752092,  -54.86854239
0.006,      0.002,    10.99222350055086188585,  -54.86847650
0.006,      0.004,    11.01417188383094363531,  -54.86835302
0.006,      0.006,    11.03607581168798231334,  -54.86817209
