#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS:  60  14
# Band-Index    1
   0.00000    -13.784237  0.568  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.572
   0.03773    -13.781394  0.568  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.572
   0.07546    -13.772881  0.570  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.572
   0.11319    -13.758770  0.572  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.574
   0.15092    -13.739187  0.574  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.576
   0.18865    -13.714303  0.576  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.580
   0.22638    -13.684346  0.580  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.582
   0.26411    -13.649586  0.584  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.588
   0.30184    -13.610357  0.588  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.592
   0.33957    -13.567053  0.594  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.596
   0.37730    -13.520136  0.600  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.602
   0.41503    -13.470131  0.606  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.610
   0.45276    -13.417620  0.612  0.000  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.616
   0.49049    -13.363247  0.620  0.000  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.624
   0.52822    -13.307714  0.628  0.000  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.632
   0.56595    -13.251783  0.636  0.000  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.640
   0.60368    -13.196246  0.644  0.000  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.648
   0.64141    -13.141917  0.654  0.000  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.656
   0.67914    -13.089612  0.662  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.664
   0.71687    -13.040098  0.669  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.672
   0.71687    -13.040098  0.669  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.672
   0.75539    -13.038401  0.669  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.672
   0.79391    -13.033345  0.670  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.673
   0.83243    -13.025039  0.671  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.674
   0.87095    -13.013664  0.673  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.675
   0.90947    -12.999470  0.675  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.677
   0.94799    -12.982775  0.677  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.679
   0.98651    -12.963966  0.679  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.682
   1.02503    -12.943493  0.682  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.684
   1.06355    -12.921864  0.685  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.687
   1.10207    -12.899634  0.688  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.690
   1.14059    -12.877404  0.691  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.693
   1.17911    -12.855795  0.694  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.697
   1.21764    -12.835436  0.697  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.700
   1.25616    -12.816944  0.700  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.702
