# energy s p d
-8.049799999999999400e+00 1.337390000000000043e+02 4.254000000000000004e-01 1.120000000000000162e-02
-8.029799999999999827e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-8.009800000000000253e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.989700000000000024e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.969700000000000450e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.949700000000000877e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.929699999999999527e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.909699999999999953e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.889600000000000612e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.869600000000001039e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.849599999999999689e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.829600000000000115e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.809600000000000541e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.789499999999999424e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.769499999999999851e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.749500000000000277e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.729500000000000703e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.709500000000001130e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.689400000000000013e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.669400000000000439e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.649400000000000865e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.629399999999999515e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.609399999999999942e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.589300000000000601e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.569300000000001027e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.549299999999999677e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.529300000000000104e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.509300000000000530e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.489199999999999413e+00 0.000000000000000000e+00 2.000000000000000096e-04 0.000000000000000000e+00
-7.469199999999999839e+00 0.000000000000000000e+00 6.000000000000000559e-04 0.000000000000000000e+00
-7.449200000000000266e+00 2.000000000000000096e-04 1.399999999999999986e-03 0.000000000000000000e+00
-7.429200000000000692e+00 5.999999999999999474e-04 3.000000000000000062e-03 0.000000000000000000e+00
-7.409200000000001118e+00 1.000000000000000021e-03 6.200000000000000649e-03 2.000000000000000096e-04
-7.389100000000000001e+00 2.200000000000000133e-03 1.220000000000000077e-02 2.000000000000000096e-04
-7.369100000000000428e+00 4.199999999999999740e-03 2.220000000000000098e-02 4.000000000000000192e-04
-7.349100000000000854e+00 7.400000000000000328e-03 3.759999999999999454e-02 5.999999999999999474e-04
-7.329099999999999504e+00 1.239999999999999956e-02 6.039999999999999536e-02 1.000000000000000021e-03
-7.309099999999999930e+00 1.980000000000000163e-02 9.140000000000000902e-02 1.399999999999999986e-03
-7.289000000000000590e+00 2.939999999999999905e-02 1.300000000000000044e-01 2.000000000000000042e-03
-7.269000000000001016e+00 4.159999999999999809e-02 1.749999999999999889e-01 2.799999999999999972e-03
-7.248999999999999666e+00 5.559999999999999665e-02 2.231999999999999817e-01 3.399999999999999811e-03
-7.229000000000000092e+00 7.040000000000000424e-02 2.703999999999999737e-01 4.199999999999999740e-03
-7.209000000000000519e+00 8.419999999999999707e-02 3.112000000000000322e-01 4.799999999999999580e-03
-7.188899999999999402e+00 9.560000000000000442e-02 3.416000000000000147e-01 5.399999999999999419e-03
-7.168899999999999828e+00 1.035999999999999976e-01 3.586000000000000298e-01 5.599999999999999076e-03
-7.148900000000000254e+00 1.072000000000000036e-01 3.616000000000000325e-01 5.799999999999999600e-03
-7.128900000000000681e+00 1.068000000000000060e-01 3.523999999999999910e-01 5.799999999999999600e-03
-7.108900000000001107e+00 1.032000000000000001e-01 3.340000000000000191e-01 5.599999999999999076e-03
-7.088799999999999990e+00 9.760000000000000620e-02 3.111999999999999766e-01 5.199999999999999761e-03
-7.068800000000000416e+00 9.120000000000000329e-02 2.879999999999999782e-01 5.200000000000000629e-03
-7.048800000000000843e+00 8.519999999999999796e-02 2.670000000000000151e-01 5.000000000000000104e-03
-7.028799999999999493e+00 8.000000000000000167e-02 2.508000000000000229e-01 5.199999999999999761e-03
