disp,        pIon,       pEle,      vol,     a,            b,            c,             shift
#_unitless,  e*Angst,    e*Angst,   Ang^3,   Ang,          Ang,          Ang,           Integer
0.00,        17.33540,   -2.02083,  376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.01,        16.45893,   -1.14436,  376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.02,        15.58246,   -0.26788,  376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.03,        14.70599,   0.60859,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.04,        13.82952,   1.48506,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.05,        12.95304,   2.36153,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.06,        12.07657,   3.23800,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.07,        11.20010,   4.11447,   376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.08,        10.32363,   -3.77377,  376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.09,        9.44716,    -2.89730,  376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.10,        8.57069,    -2.02083,  376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.20,        -0.19403,   -2.02083,  376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.30,        -8.95874,   -2.02083,  376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.40,        -17.72345,  -2.02083,  376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.50,        17.33540,   -2.02083,  376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.60,        8.57069,    -2.02083,  376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.70,        -0.19403,   -2.02083,  376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.80,        -8.95874,   -2.02083,  376.22,  4.292477857,  4.382356765,  20.000000000,  0
0.90,        -17.72345,  -2.02083,  376.22,  4.292477857,  4.382356765,  20.000000000,  0
