  strain      pTot    pol_3d(e/Ang^2)    quanta(e/Ang^2)    shift    pol_2d(pC/m)
--------  --------  -----------------  -----------------  -------  --------------
-0.01000  15.58770            0.04185            0.01165  0.00000       -36.61590
-0.00800  15.53015            0.04161            0.01165  0.00000       -28.99012
-0.00600  15.47505            0.04138            0.01165  0.00000       -21.56917
-0.00400  15.42121            0.04115            0.01165  0.00000       -14.32106
-0.00200  15.36095            0.04091            0.01165  0.00000        -6.55476
 0.00000  15.31457            0.04071            0.01165  0.00000         0.00000
 0.00200  15.28140            0.04054            0.01165  0.00000         5.44172
 0.00400  15.24405            0.04036            0.01165  0.00000        11.18146
 0.00600  15.21034            0.04019            0.01165  0.00000        16.59070
 0.00800  15.16881            0.04000            0.01165  0.00000        22.63841
 0.01000  15.13918            0.03984            0.01165  0.00000        27.69363
# e11=32.07 ÅC/m
