#   Theta  Young's-Modulus  Shear-Modulus    Poisson's-Ratio
#   You can plot in 2d polar coordinates 
    0.000      5.2324           17.5748           0.8696
    0.500      5.2337           17.5131           0.8695
    1.000      5.2378           17.3308           0.8694
    1.500      5.2447           17.0354           0.8693
    2.000      5.2544           16.6389           0.8690
    2.500      5.2668           16.1562           0.8687
    3.000      5.2820           15.6040           0.8683
    3.500      5.3001           14.9996           0.8679
    4.000      5.3210           14.3597           0.8674
    4.500      5.3449           13.6995           0.8668
    5.000      5.3717           13.0323           0.8661
    5.500      5.4016           12.3692           0.8654
    6.000      5.4345           11.7190           0.8645
    6.500      5.4705           11.0886           0.8636
    7.000      5.5098           10.4829           0.8627
    7.500      5.5524            9.9050           0.8616
    8.000      5.5983            9.3571           0.8605
    8.500      5.6477            8.8400           0.8592
    9.000      5.7007            8.3537           0.8579
    9.500      5.7574            7.8980           0.8565
   10.000      5.8179            7.4717           0.8550
   10.500      5.8823            7.0737           0.8534
   11.000      5.9508            6.7025           0.8517
   11.500      6.0236            6.3567           0.8499
   12.000      6.1007            6.0346           0.8479
   12.500      6.1824            5.7348           0.8459
   13.000      6.2688            5.4557           0.8437
   13.500      6.3602            5.1958           0.8415
   14.000      6.4567            4.9538           0.8391
   14.500      6.5586            4.7283           0.8365
   15.000      6.6662            4.5181           0.8338
   15.500      6.7796            4.3221           0.8310
   16.000      6.8992            4.1391           0.8280
   16.500      7.0253            3.9682           0.8249
   17.000      7.1581            3.8085           0.8216
   17.500      7.2981            3.6592           0.8181
   18.000      7.4455            3.5194           0.8144
   18.500      7.6008            3.3885           0.8105
   19.000      7.7644            3.2658           0.8065
   19.500      7.9367            3.1507           0.8022
   20.000      8.1182            3.0427           0.7976
   20.500      8.3094            2.9412           0.7929
   21.000      8.5109            2.8459           0.7879
   21.500      8.7231            2.7562           0.7826
   22.000      8.9468            2.6718           0.7770
   22.500      9.1825            2.5923           0.7711
   23.000      9.4309            2.5174           0.7649
   23.500      9.6929            2.4468           0.7584
   24.000      9.9692            2.3802           0.7515
   24.500     10.2605            2.3173           0.7442
   25.000     10.5679            2.2580           0.7366
   25.500     10.8921            2.2020           0.7285
   26.000     11.2343            2.1491           0.7200
   26.500     11.5953            2.0990           0.7110
   27.000     11.9764            2.0518           0.7015
   27.500     12.3787            2.0071           0.6915
   28.000     12.8033            1.9648           0.6809
   28.500     13.2515            1.9248           0.6697
   29.000     13.7245            1.8871           0.6579
   29.500     14.2237            1.8513           0.6455
   30.000     14.7502            1.8175           0.6323
   30.500     15.3056            1.7856           0.6185
   31.000     15.8909            1.7554           0.6039
   31.500     16.5076            1.7269           0.5885
   32.000     17.1567            1.7000           0.5724
   32.500     17.8393            1.6746           0.5553
   33.000     18.5562            1.6507           0.5375
   33.500     19.3082            1.6281           0.5187
   34.000     20.0955            1.6069           0.4991
   34.500     20.9182            1.5869           0.4786
   35.000     21.7758            1.5682           0.4572
   35.500     22.6672            1.5506           0.4350
   36.000     23.5907            1.5342           0.4120
   36.500     24.5438            1.5188           0.3882
   37.000     25.5228            1.5045           0.3638
   37.500     26.5234            1.4913           0.3389
   38.000     27.5396            1.4790           0.3136
   38.500     28.5645            1.4677           0.2880
   39.000     29.5896            1.4573           0.2625
   39.500     30.6050            1.4479           0.2371
   40.000     31.5996            1.4393           0.2124
   40.500     32.5609            1.4316           0.1884
   41.000     33.4754            1.4247           0.1656
   41.500     34.3289            1.4187           0.1443
   42.000     35.1069            1.4136           0.1249
   42.500     35.7950            1.4092           0.1078
   43.000     36.3796            1.4056           0.0932
   43.500     36.8484            1.4029           0.0815
   44.000     37.1912            1.4009           0.0730
   44.500     37.4001            1.3997           0.0678
   45.000     37.4703            1.3993           0.0660
   45.500     37.4001            1.3997           0.0678
   46.000     37.1912            1.4009           0.0730
   46.500     36.8484            1.4029           0.0815
   47.000     36.3796            1.4056           0.0932
   47.500     35.7950            1.4092           0.1078
   48.000     35.1069            1.4136           0.1249
   48.500     34.3289            1.4187           0.1443
   49.000     33.4754            1.4247           0.1656
   49.500     32.5609            1.4316           0.1884
   50.000     31.5996            1.4393           0.2124
   50.500     30.6050            1.4479           0.2371
   51.000     29.5896            1.4573           0.2625
   51.500     28.5645            1.4677           0.2880
   52.000     27.5396            1.4790           0.3136
   52.500     26.5234            1.4913           0.3389
   53.000     25.5228            1.5045           0.3638
   53.500     24.5438            1.5188           0.3882
   54.000     23.5907            1.5342           0.4120
   54.500     22.6672            1.5506           0.4350
   55.000     21.7758            1.5682           0.4572
   55.500     20.9182            1.5869           0.4786
   56.000     20.0955            1.6069           0.4991
   56.500     19.3082            1.6281           0.5187
   57.000     18.5562            1.6507           0.5375
   57.500     17.8393            1.6746           0.5553
   58.000     17.1567            1.7000           0.5724
   58.500     16.5076            1.7269           0.5885
   59.000     15.8909            1.7554           0.6039
   59.500     15.3056            1.7856           0.6185
   60.000     14.7502            1.8175           0.6323
   60.500     14.2237            1.8513           0.6455
   61.000     13.7245            1.8871           0.6579
   61.500     13.2515            1.9248           0.6697
   62.000     12.8033            1.9648           0.6809
   62.500     12.3787            2.0071           0.6915
   63.000     11.9764            2.0518           0.7015
   63.500     11.5953            2.0990           0.7110
   64.000     11.2343            2.1491           0.7200
   64.500     10.8921            2.2020           0.7285
   65.000     10.5679            2.2580           0.7366
   65.500     10.2605            2.3173           0.7442
   66.000      9.9692            2.3802           0.7515
   66.500      9.6929            2.4468           0.7584
   67.000      9.4309            2.5174           0.7649
   67.500      9.1825            2.5923           0.7711
   68.000      8.9468            2.6718           0.7770
   68.500      8.7231            2.7562           0.7826
   69.000      8.5109            2.8459           0.7879
   69.500      8.3094            2.9412           0.7929
   70.000      8.1182            3.0427           0.7976
   70.500      7.9367            3.1507           0.8022
   71.000      7.7644            3.2658           0.8065
   71.500      7.6008            3.3885           0.8105
   72.000      7.4455            3.5194           0.8144
   72.500      7.2981            3.6592           0.8181
   73.000      7.1581            3.8085           0.8216
   73.500      7.0253            3.9682           0.8249
   74.000      6.8992            4.1391           0.8280
   74.500      6.7796            4.3221           0.8310
   75.000      6.6662            4.5181           0.8338
   75.500      6.5586            4.7283           0.8365
   76.000      6.4567            4.9538           0.8391
   76.500      6.3602            5.1958           0.8415
   77.000      6.2688            5.4557           0.8437
   77.500      6.1824            5.7348           0.8459
   78.000      6.1007            6.0346           0.8479
   78.500      6.0236            6.3567           0.8499
   79.000      5.9508            6.7025           0.8517
   79.500      5.8823            7.0737           0.8534
   80.000      5.8179            7.4717           0.8550
   80.500      5.7574            7.8980           0.8565
   81.000      5.7007            8.3537           0.8579
   81.500      5.6477            8.8400           0.8592
   82.000      5.5983            9.3571           0.8605
   82.500      5.5524            9.9050           0.8616
   83.000      5.5098           10.4829           0.8627
   83.500      5.4705           11.0886           0.8636
   84.000      5.4345           11.7190           0.8645
   84.500      5.4016           12.3692           0.8654
   85.000      5.3717           13.0323           0.8661
   85.500      5.3449           13.6995           0.8668
   86.000      5.3210           14.3597           0.8674
   86.500      5.3001           14.9996           0.8679
   87.000      5.2820           15.6040           0.8683
   87.500      5.2668           16.1562           0.8687
   88.000      5.2544           16.6389           0.8690
   88.500      5.2447           17.0354           0.8693
   89.000      5.2378           17.3308           0.8694
   89.500      5.2337           17.5131           0.8695
   90.000      5.2324           17.5748           0.8696
   90.500      5.2337           17.5131           0.8695
   91.000      5.2378           17.3308           0.8694
   91.500      5.2447           17.0354           0.8693
   92.000      5.2544           16.6389           0.8690
   92.500      5.2668           16.1562           0.8687
   93.000      5.2820           15.6040           0.8683
   93.500      5.3001           14.9996           0.8679
   94.000      5.3210           14.3597           0.8674
   94.500      5.3449           13.6995           0.8668
   95.000      5.3717           13.0323           0.8661
   95.500      5.4016           12.3692           0.8654
   96.000      5.4345           11.7190           0.8645
   96.500      5.4705           11.0886           0.8636
   97.000      5.5098           10.4829           0.8627
   97.500      5.5524            9.9050           0.8616
   98.000      5.5983            9.3571           0.8605
   98.500      5.6477            8.8400           0.8592
   99.000      5.7007            8.3537           0.8579
   99.500      5.7574            7.8980           0.8565
  100.000      5.8179            7.4717           0.8550
  100.500      5.8823            7.0737           0.8534
  101.000      5.9508            6.7025           0.8517
  101.500      6.0236            6.3567           0.8499
  102.000      6.1007            6.0346           0.8479
  102.500      6.1824            5.7348           0.8459
  103.000      6.2688            5.4557           0.8437
  103.500      6.3602            5.1958           0.8415
  104.000      6.4567            4.9538           0.8391
  104.500      6.5586            4.7283           0.8365
  105.000      6.6662            4.5181           0.8338
  105.500      6.7796            4.3221           0.8310
  106.000      6.8992            4.1391           0.8280
  106.500      7.0253            3.9682           0.8249
  107.000      7.1581            3.8085           0.8216
  107.500      7.2981            3.6592           0.8181
  108.000      7.4455            3.5194           0.8144
  108.500      7.6008            3.3885           0.8105
  109.000      7.7644            3.2658           0.8065
  109.500      7.9367            3.1507           0.8022
  110.000      8.1182            3.0427           0.7976
