
           SLURM_NODEID: 0
         SLURM_NODELIST: cn512-08-l
           SLURM_NNODES: 1
           SLURM_NTASKS: 8
           SLURM_NPROCS: 
  SLURM_NTASKS_PER_CORE: 
   SLURM_NTASKS_PER_GPU: 
  SLURM_NTASKS_PER_NODE: 8
SLURM_NTASKS_PER_SOCKET: 

-35.86914419
-35.94145048
      Step     Time          Energy         fmax
BFGS:    0 16:58:49      -33.310099        3.1390
BFGS:    1 16:59:49      -33.627149        1.9395
BFGS:    2 17:00:38      -33.954610        1.0857
BFGS:    3 17:01:28      -34.024874        0.9539
BFGS:    4 17:02:16      -34.085327        0.7198
BFGS:    5 17:03:07      -34.113130        0.7093
BFGS:    6 17:04:01      -34.138945        0.6599
BFGS:    7 17:04:47      -34.166955        0.5176
BFGS:    8 17:05:32      -34.191818        0.4931
BFGS:    9 17:06:21      -34.208865        0.5429
BFGS:   10 17:07:03      -34.218088        0.4274
BFGS:   11 17:07:39      -34.221294        0.3511
BFGS:   12 17:08:33      -34.221817        0.3742
BFGS:   13 17:09:20      -34.222908        0.5365
BFGS:   14 17:10:00      -34.228939        0.4827
BFGS:   15 17:10:36      -34.240594        0.3060
