  #K-Path    Energy        Sn        Se
# NKPTS & NBANDS:  60  14
# Band-Index    1
    0.000  -13.7842     0.128     0.572
    0.038  -13.7814     0.128     0.572
    0.075  -13.7729     0.128     0.572
    0.113  -13.7588     0.126     0.574
    0.151  -13.7392     0.126     0.576
    0.189  -13.7143     0.124     0.580
    0.226  -13.6843     0.122     0.582
    0.264  -13.6496     0.118     0.588
    0.302  -13.6104     0.116     0.592
    0.340  -13.5671     0.112     0.596
    0.377  -13.5201     0.110     0.602
    0.415  -13.4701     0.106     0.610
    0.453  -13.4176     0.100     0.616
    0.490  -13.3632     0.096     0.624
    0.528  -13.3077     0.090     0.632
    0.566  -13.2518     0.086     0.640
    0.604  -13.1962     0.080     0.648
    0.641  -13.1419     0.074     0.656
    0.679  -13.0896     0.070     0.664
    0.717  -13.0401     0.064     0.672
    0.717  -13.0401     0.064     0.672
    0.755  -13.0384     0.064     0.672
    0.794  -13.0333     0.064     0.673
    0.832  -13.0250     0.063     0.674
    0.871  -13.0137     0.063     0.675
    0.909  -12.9995     0.062     0.677
    0.948  -12.9828     0.060     0.679
    0.987  -12.9640     0.059     0.682
    1.025  -12.9435     0.058     0.684
    1.064  -12.9219     0.056     0.687
    1.102  -12.8996     0.054     0.690
    1.141  -12.8774     0.052     0.693
    1.179  -12.8558     0.051     0.697
    1.218  -12.8354     0.050     0.700
    1.256  -12.8169     0.049     0.702
    1.295  -12.8009     0.047     0.704
    1.333  -12.7878     0.046     0.706
    1.372  -12.7781     0.045     0.708
    1.410  -12.7722     0.045     0.709
    1.449  -12.7702     0.044     0.709
    1.449  -12.7702     0.044     0.709
    1.503  -12.7783     0.046     0.708
    1.557  -12.8022     0.048     0.704
    1.611  -12.8409     0.052     0.698
    1.664  -12.8931     0.056     0.688
    1.718  -12.9566     0.062     0.680
    1.772  -13.0291     0.070     0.668
    1.826  -13.1082     0.076     0.656
    1.880  -13.1912     0.084     0.644
    1.934  -13.2755     0.090     0.634
    1.988  -13.3587     0.098     0.622
    2.042  -13.4387     0.104     0.612
    2.096  -13.5135     0.110     0.602
    2.150  -13.5815     0.114     0.594
    2.204  -13.6412     0.118     0.588
    2.258  -13.6916     0.122     0.582
    2.311  -13.7316     0.124     0.578
    2.365  -13.7607     0.126     0.574
    2.419  -13.7783     0.128     0.572
    2.473  -13.7842     0.128     0.572
 
# Band-Index    2
    2.473  -12.7913     0.042     0.698
    2.419  -12.7902     0.042     0.698
    2.365  -12.7870     0.040     0.700
    2.311  -12.7821     0.040     0.702
    2.258  -12.7758     0.038     0.704
    2.204  -12.7688     0.038     0.706
    2.150  -12.7617     0.036     0.708
    2.096  -12.7551     0.034     0.712
