#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS:  60  14
# Band-Index    1
   0.00000    -13.784237  0.116  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.128
   0.03773    -13.781394  0.114  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.128
   0.07546    -13.772881  0.114  0.000  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.128
   0.11319    -13.758770  0.112  0.000  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.126
   0.15092    -13.739187  0.110  0.000  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.126
   0.18865    -13.714303  0.108  0.000  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.124
   0.22638    -13.684346  0.104  0.000  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.122
   0.26411    -13.649586  0.102  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.118
   0.30184    -13.610357  0.096  0.000  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.116
   0.33957    -13.567053  0.092  0.000  0.012  0.008  0.000  0.000  0.000  0.000  0.000  0.112
   0.37730    -13.520136  0.086  0.000  0.012  0.010  0.000  0.000  0.000  0.000  0.000  0.110
   0.41503    -13.470131  0.082  0.000  0.012  0.012  0.000  0.000  0.000  0.000  0.000  0.106
   0.45276    -13.417620  0.074  0.000  0.012  0.014  0.000  0.000  0.000  0.000  0.000  0.100
   0.49049    -13.363247  0.068  0.000  0.012  0.014  0.000  0.000  0.000  0.000  0.000  0.096
   0.52822    -13.307714  0.062  0.000  0.012  0.016  0.000  0.000  0.000  0.000  0.000  0.090
   0.56595    -13.251783  0.054  0.000  0.012  0.018  0.000  0.000  0.002  0.000  0.000  0.086
   0.60368    -13.196246  0.048  0.000  0.012  0.020  0.000  0.000  0.002  0.000  0.000  0.080
   0.64141    -13.141917  0.040  0.000  0.012  0.020  0.000  0.000  0.002  0.000  0.000  0.074
   0.67914    -13.089612  0.034  0.000  0.012  0.022  0.000  0.000  0.002  0.000  0.000  0.070
   0.71687    -13.040098  0.028  0.000  0.012  0.021  0.000  0.000  0.002  0.000  0.000  0.064
   0.71687    -13.040098  0.028  0.000  0.012  0.021  0.000  0.000  0.002  0.000  0.000  0.064
   0.75539    -13.038401  0.028  0.000  0.012  0.021  0.000  0.000  0.002  0.000  0.000  0.064
   0.79391    -13.033345  0.028  0.000  0.012  0.021  0.000  0.000  0.002  0.000  0.000  0.064
   0.83243    -13.025039  0.027  0.000  0.012  0.021  0.000  0.000  0.002  0.000  0.000  0.063
   0.87095    -13.013664  0.027  0.000  0.012  0.020  0.000  0.000  0.002  0.000  0.000  0.063
   0.90947    -12.999470  0.027  0.000  0.012  0.018  0.001  0.000  0.002  0.000  0.000  0.062
   0.94799    -12.982775  0.026  0.001  0.012  0.018  0.001  0.000  0.002  0.000  0.000  0.060
   0.98651    -12.963966  0.026  0.001  0.012  0.016  0.002  0.000  0.002  0.000  0.000  0.059
   1.02503    -12.943493  0.025  0.001  0.012  0.015  0.003  0.000  0.002  0.000  0.000  0.058
   1.06355    -12.921864  0.025  0.001  0.011  0.012  0.003  0.000  0.002  0.000  0.000  0.056
   1.10207    -12.899634  0.023  0.001  0.011  0.011  0.004  0.000  0.002  0.000  0.000  0.054
   1.14059    -12.877404  0.023  0.002  0.011  0.009  0.004  0.000  0.002  0.000  0.000  0.052
   1.17911    -12.855795  0.023  0.002  0.012  0.007  0.005  0.000  0.002  0.000  0.000  0.051
   1.21764    -12.835436  0.022  0.002  0.012  0.006  0.005  0.000  0.002  0.000  0.000  0.050
   1.25616    -12.816944  0.021  0.002  0.012  0.004  0.006  0.000  0.002  0.000  0.000  0.049
   1.29468    -12.800898  0.021  0.002  0.012  0.003  0.006  0.000  0.002  0.000  0.000  0.047
   1.33320    -12.787816  0.020  0.002  0.012  0.001  0.007  0.000  0.002  0.000  0.000  0.046
   1.37172    -12.778136  0.020  0.003  0.012  0.001  0.007  0.000  0.002  0.000  0.000  0.045
   1.41024    -12.772191  0.020  0.003  0.012  0.000  0.007  0.000  0.003  0.000  0.000  0.045
   1.44876    -12.770184  0.020  0.003  0.012  0.000  0.007  0.000  0.003  0.000  0.000  0.044
   1.44876    -12.770184  0.020  0.003  0.012  0.000  0.007  0.000  0.003  0.000  0.000  0.044
   1.50268    -12.778260  0.020  0.004  0.012  0.000  0.008  0.000  0.002  0.000  0.000  0.046
   1.55660    -12.802160  0.022  0.004  0.012  0.000  0.006  0.000  0.002  0.000  0.000  0.048
   1.61052    -12.840933  0.026  0.004  0.012  0.002  0.006  0.000  0.002  0.000  0.000  0.052
   1.66444    -12.893071  0.030  0.004  0.012  0.002  0.006  0.000  0.002  0.000  0.000  0.056
   1.71836    -12.956588  0.036  0.006  0.012  0.004  0.004  0.000  0.002  0.000  0.000  0.062
   1.77228    -13.029147  0.042  0.006  0.012  0.004  0.004  0.000  0.002  0.000  0.000  0.070
   1.82620    -13.108209  0.048  0.006  0.012  0.006  0.004  0.000  0.002  0.000  0.000  0.076
   1.88012    -13.191181  0.056  0.006  0.012  0.006  0.002  0.000  0.000  0.000  0.000  0.084
   1.93404    -13.275489  0.064  0.006  0.012  0.006  0.002  0.000  0.000  0.000  0.000  0.090
   1.98796    -13.358737  0.072  0.006  0.012  0.006  0.002  0.000  0.000  0.000  0.000  0.098
   2.04188    -13.438729  0.080  0.006  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.104
   2.09580    -13.513540  0.088  0.004  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.110
   2.14972    -13.581510  0.094  0.004  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.114
   2.20364    -13.641233  0.100  0.002  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.118
   2.25756    -13.691567  0.106  0.002  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.122
   2.31148    -13.731614  0.110  0.000  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.124
   2.36540    -13.760695  0.112  0.000  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.126
   2.41932    -13.778331  0.114  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.128
   2.47324    -13.784237  0.116  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.128
 
# Band-Index    2
   2.47324    -12.791264  0.020  0.000  0.010  0.002  0.000  0.000  0.010  0.000  0.000  0.042
   2.41932    -12.790177  0.020  0.000  0.010  0.002  0.000  0.000  0.010  0.000  0.000  0.042
   2.36540    -12.787018  0.018  0.000  0.010  0.002  0.000  0.000  0.010  0.000  0.000  0.040
   2.31148    -12.782073  0.016  0.002  0.010  0.004  0.000  0.000  0.008  0.000  0.000  0.040
   2.25756    -12.775796  0.014  0.002  0.010  0.004  0.000  0.000  0.008  0.000  0.000  0.038
   2.20364    -12.768770  0.010  0.004  0.010  0.004  0.000  0.000  0.008  0.000  0.000  0.038
   2.14972    -12.761653  0.008  0.004  0.010  0.006  0.000  0.000  0.008  0.000  0.000  0.036
   2.09580    -12.755114  0.006  0.006  0.010  0.006  0.000  0.000  0.008  0.000  0.000  0.034
   2.04188    -12.749755  0.004  0.006  0.010  0.006  0.002  0.000  0.006  0.000  0.000  0.034
   1.98796    -12.746043  0.002  0.006  0.010  0.006  0.002  0.000  0.006  0.000  0.000  0.034
   1.93404    -12.744256  0.002  0.006  0.010  0.006  0.002  0.000  0.006  0.000  0.000  0.034
   1.88012    -12.744453  0.002  0.006  0.012  0.006  0.002  0.000  0.004  0.000  0.000  0.034
   1.82620    -12.746461  0.004  0.006  0.012  0.006  0.004  0.000  0.004  0.000  0.000  0.036
   1.77228    -12.749917  0.008  0.006  0.012  0.004  0.004  0.000  0.004  0.000  0.000  0.038
   1.71836    -12.754296  0.010  0.006  0.012  0.004  0.006  0.000  0.004  0.000  0.000  0.038
   1.66444    -12.759001  0.014  0.004  0.012  0.002  0.006  0.000  0.004  0.000  0.000  0.040
   1.61052    -12.763427  0.016  0.004  0.012  0.002  0.006  0.000  0.002  0.000  0.000  0.042
   1.55660    -12.767029  0.018  0.004  0.012  0.000  0.006  0.000  0.002  0.000  0.000  0.044
   1.50268    -12.769372  0.020  0.004  0.012  0.000  0.008  0.000  0.002  0.000  0.000  0.044
   1.44876    -12.770184  0.020  0.003  0.012  0.000  0.007  0.000  0.003  0.000  0.000  0.044
   1.44876    -12.770184  0.020  0.003  0.012  0.000  0.007  0.000  0.003  0.000  0.000  0.044
   1.41024    -12.772191  0.020  0.003  0.012  0.000  0.007  0.000  0.003  0.000  0.000  0.045
   1.37172    -12.778136  0.020  0.003  0.012  0.001  0.007  0.000  0.002  0.000  0.000  0.045
   1.33320    -12.787816  0.020  0.002  0.012  0.001  0.007  0.000  0.002  0.000  0.000  0.046
   1.29468    -12.800898  0.021  0.002  0.012  0.003  0.006  0.000  0.002  0.000  0.000  0.047
   1.25616    -12.816944  0.021  0.002  0.012  0.004  0.006  0.000  0.002  0.000  0.000  0.049
   1.21764    -12.835435  0.022  0.002  0.012  0.006  0.005  0.000  0.002  0.000  0.000  0.050
   1.17911    -12.855795  0.023  0.002  0.012  0.007  0.005  0.000  0.002  0.000  0.000  0.051
   1.14059    -12.877404  0.023  0.002  0.011  0.009  0.004  0.000  0.002  0.000  0.000  0.052
   1.10207    -12.899634  0.023  0.001  0.011  0.011  0.004  0.000  0.002  0.000  0.000  0.054
   1.06355    -12.921863  0.025  0.001  0.011  0.012  0.003  0.000  0.002  0.000  0.000  0.056
   1.02503    -12.943493  0.025  0.001  0.012  0.015  0.003  0.000  0.002  0.000  0.000  0.058
   0.98651    -12.963965  0.026  0.001  0.012  0.016  0.002  0.000  0.002  0.000  0.000  0.059
   0.94799    -12.982774  0.026  0.001  0.012  0.018  0.001  0.000  0.002  0.000  0.000  0.060
   0.90947    -12.999470  0.027  0.000  0.012  0.018  0.001  0.000  0.002  0.000  0.000  0.062
   0.87095    -13.013664  0.027  0.000  0.012  0.020  0.000  0.000  0.002  0.000  0.000  0.063
   0.83243    -13.025039  0.027  0.000  0.012  0.021  0.000  0.000  0.002  0.000  0.000  0.063
   0.79391    -13.033345  0.028  0.000  0.012  0.021  0.000  0.000  0.002  0.000  0.000  0.064
   0.75539    -13.038400  0.028  0.000  0.012  0.021  0.000  0.000  0.002  0.000  0.000  0.064
   0.71687    -13.040098  0.028  0.000  0.012  0.021  0.000  0.000  0.002  0.000  0.000  0.064
   0.71687    -13.040098  0.028  0.000  0.012  0.021  0.000  0.000  0.002  0.000  0.000  0.064
   0.67914    -12.994086  0.022  0.000  0.012  0.022  0.000  0.000  0.002  0.000  0.000  0.058
   0.64141    -12.952182  0.018  0.000  0.012  0.022  0.000  0.000  0.004  0.000  0.000  0.054
   0.60368    -12.914860  0.014  0.000  0.012  0.022  0.000  0.000  0.004  0.000  0.000  0.050
   0.56595    -12.882436  0.010  0.000  0.012  0.020  0.000  0.000  0.004  0.000  0.000  0.046
   0.52822    -12.855046  0.008  0.000  0.010  0.020  0.000  0.000  0.004  0.000  0.000  0.044
   0.49049    -12.832649  0.006  0.000  0.010  0.018  0.000  0.000  0.006  0.000  0.000  0.040
   0.45276    -12.815025  0.006  0.000  0.010  0.018  0.000  0.000  0.006  0.000  0.000  0.040
   0.41503    -12.801812  0.006  0.000  0.010  0.016  0.000  0.000  0.006  0.000  0.000  0.038
   0.37730    -12.792529  0.006  0.000  0.010  0.014  0.000  0.000  0.006  0.000  0.000  0.038
   0.33957    -12.786614  0.008  0.000  0.010  0.012  0.000  0.000  0.008  0.000  0.000  0.038
   0.30184    -12.783455  0.010  0.000  0.010  0.010  0.000  0.000  0.008  0.000  0.000  0.038
   0.26411    -12.782422  0.012  0.000  0.010  0.008  0.000  0.000  0.008  0.000  0.000  0.038
   0.22638    -12.782907  0.014  0.000  0.010  0.008  0.000  0.000  0.008  0.000  0.000  0.040
   0.18865    -12.784351  0.016  0.000  0.010  0.006  0.000  0.000  0.008  0.000  0.000  0.040
   0.15092    -12.786252  0.018  0.000  0.010  0.004  0.000  0.000  0.008  0.000  0.000  0.040
   0.11319    -12.788186  0.018  0.000  0.010  0.004  0.000  0.000  0.010  0.000  0.000  0.040
   0.07546    -12.789814  0.020  0.000  0.010  0.002  0.000  0.000  0.010  0.000  0.000  0.042
   0.03773    -12.790888  0.020  0.000  0.010  0.002  0.000  0.000  0.010  0.000  0.000  0.042
   0.00000    -12.791264  0.020  0.000  0.010  0.002  0.000  0.000  0.010  0.000  0.000  0.042
 
# Band-Index    3
   0.00000     -6.725505  0.704  0.000  0.004  0.000  0.000  0.000  0.002  0.000  0.000  0.710
   0.03773     -6.736689  0.702  0.000  0.004  0.000  0.000  0.000  0.002  0.000  0.000  0.708
   0.07546     -6.769440  0.696  0.000  0.004  0.002  0.000  0.000  0.002  0.000  0.000  0.704
   0.11319     -6.821504  0.688  0.000  0.004  0.002  0.000  0.000  0.002  0.000  0.000  0.698
   0.15092     -6.889567  0.678  0.000  0.004  0.004  0.000  0.000  0.002  0.000  0.000  0.688
   0.18865     -6.969731  0.668  0.000  0.004  0.004  0.000  0.000  0.002  0.000  0.000  0.680
   0.22638     -7.057935  0.658  0.000  0.004  0.006  0.000  0.000  0.000  0.000  0.000  0.670
   0.26411     -7.150237  0.648  0.000  0.004  0.006  0.000  0.000  0.000  0.000  0.000  0.660
   0.30184     -7.242965  0.640  0.000  0.004  0.006  0.000  0.000  0.000  0.000  0.000  0.652
   0.33957     -7.332813  0.632  0.000  0.004  0.006  0.000  0.000  0.000  0.000  0.000  0.644
   0.37730     -7.416852  0.626  0.000  0.004  0.006  0.000  0.000  0.000  0.002  0.000  0.636
   0.41503     -7.492524  0.618  0.000  0.004  0.004  0.000  0.000  0.000  0.002  0.000  0.628
   0.45276     -7.557639  0.612  0.000  0.004  0.004  0.000  0.000  0.000  0.002  0.000  0.622
   0.49049     -7.610372  0.606  0.000  0.004  0.002  0.000  0.000  0.000  0.002  0.000  0.614
   0.52822     -7.649267  0.600  0.000  0.004  0.002  0.000  0.000  0.000  0.002  0.000  0.608
   0.56595     -7.673222  0.594  0.000  0.002  0.002  0.000  0.000  0.000  0.002  0.000  0.600
   0.60368     -7.681501  0.588  0.000  0.002  0.000  0.000  0.000  0.000  0.002  0.000  0.594
   0.64141     -7.673719  0.580  0.000  0.002  0.000  0.000  0.000  0.000  0.002  0.000  0.586
   0.67914     -7.649815  0.574  0.000  0.002  0.000  0.000  0.000  0.000  0.002  0.000  0.580
   0.71687     -7.610031  0.566  0.000  0.003  0.000  0.000  0.000  0.001  0.001  0.001  0.572
   0.71687     -7.610031  0.566  0.000  0.003  0.000  0.000  0.000  0.001  0.001  0.001  0.572
   0.75539     -7.605800  0.567  0.000  0.003  0.000  0.000  0.000  0.001  0.001  0.001  0.573
   0.79391     -7.593139  0.567  0.000  0.003  0.000  0.000  0.000  0.001  0.001  0.000  0.574
   0.83243     -7.572143  0.569  0.001  0.003  0.000  0.000  0.000  0.001  0.001  0.000  0.576
   0.87095     -7.542981  0.570  0.002  0.003  0.000  0.000  0.000  0.001  0.001  0.000  0.578
   0.90947     -7.505898  0.572  0.003  0.003  0.000  0.000  0.000  0.001  0.001  0.000  0.581
   0.94799     -7.461230  0.575  0.005  0.003  0.000  0.000  0.000  0.001  0.001  0.000  0.585
   0.98651     -7.409427  0.578  0.006  0.003  0.000  0.000  0.000  0.000  0.001  0.000  0.589
   1.02503     -7.351074  0.583  0.007  0.003  0.000  0.000  0.000  0.000  0.001  0.000  0.595
   1.06355     -7.286925  0.588  0.008  0.003  0.000  0.000  0.000  0.000  0.001  0.000  0.601
   1.10207     -7.217952  0.594  0.009  0.003  0.000  0.000  0.000  0.000  0.001  0.000  0.609
   1.14059     -7.145397  0.601  0.011  0.003  0.001  0.000  0.000  0.000  0.000  0.000  0.617
   1.17911     -7.070840  0.610  0.011  0.003  0.001  0.000  0.000  0.000  0.000  0.000  0.627
   1.21764     -6.996280  0.620  0.011  0.003  0.002  0.000  0.000  0.000  0.000  0.000  0.638
   1.25616     -6.924210  0.631  0.011  0.003  0.003  0.000  0.000  0.000  0.000  0.000  0.649
   1.29468     -6.857644  0.643  0.010  0.003  0.005  0.000  0.000  0.000  0.000  0.000  0.662
   1.33320     -6.800075  0.654  0.009  0.004  0.006  0.000  0.000  0.000  0.000  0.000  0.673
   1.37172     -6.755236  0.663  0.008  0.003  0.008  0.000  0.000  0.000  0.000  0.000  0.683
   1.41024     -6.726616  0.670  0.007  0.003  0.009  0.000  0.000  0.000  0.000  0.000  0.690
   1.44876     -6.716762  0.672  0.006  0.004  0.009  0.000  0.000  0.000  0.000  0.000  0.692
   1.44876     -6.716762  0.672  0.006  0.004  0.009  0.000  0.000  0.000  0.000  0.000  0.692
   1.50268     -6.737991  0.672  0.006  0.004  0.008  0.000  0.000  0.000  0.000  0.000  0.690
   1.55660     -6.797359  0.668  0.006  0.004  0.008  0.000  0.000  0.000  0.000  0.000  0.686
   1.61052     -6.883812  0.664  0.006  0.004  0.008  0.000  0.000  0.000  0.000  0.000  0.680
   1.66444     -6.983714  0.660  0.004  0.004  0.006  0.000  0.000  0.000  0.000  0.000  0.674
   1.71836     -7.084362  0.656  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.668
   1.77228     -7.175587  0.654  0.002  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.664
   1.82620     -7.249966  0.654  0.002  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.662
   1.88012     -7.302442  0.654  0.000  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.660
