# energy s p d
-8.049799999999999400e+00 7.450400000000000134e+00 4.361399999999999721e+00 1.060599999999999987e+00
-8.029799999999999827e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-8.009800000000000253e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.989700000000000024e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.969700000000000450e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.949700000000000877e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.929699999999999527e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.909699999999999953e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.889600000000000612e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.869600000000001039e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.849599999999999689e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.829600000000000115e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.809600000000000541e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.789499999999999424e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.769499999999999851e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.749500000000000277e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.729500000000000703e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.709500000000001130e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.689400000000000013e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.669400000000000439e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.649400000000000865e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.629399999999999515e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.609399999999999942e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
