#k-distance eigenvalue[eV]
0.00000000 -13.36560000
0.03773015 -13.36270000
0.07546030 -13.35420000
0.11319045 -13.34010000
0.15092061 -13.32050000
0.18865076 -13.29560000
0.22638091 -13.26570000
0.26411106 -13.23090000
0.30184121 -13.19170000
0.33957136 -13.14840000
0.37730150 -13.10150000
0.41503165 -13.05150000
0.45276181 -12.99900000
0.49049196 -12.94460000
0.52822211 -12.88900000
0.56595226 -12.83310000
0.60368241 -12.77760000
0.64141256 -12.72320000
0.67914272 -12.67090000
0.71687287 -12.62140000
0.71687287 -12.62140000
0.75539304 -12.61970000
0.79391321 -12.61470000
0.83243338 -12.60640000
0.87095355 -12.59500000
0.90947373 -12.58080000
0.94799390 -12.56410000
0.98651407 -12.54530000
1.02503424 -12.52480000
1.06355441 -12.50320000
1.10207457 -12.48100000
1.14059474 -12.45870000
1.17911491 -12.43710000
1.21763509 -12.41680000
1.25615526 -12.39830000
1.29467543 -12.38220000
1.33319560 -12.36910000
1.37171577 -12.35950000
1.41023595 -12.35350000
1.44875612 -12.35150000
1.44875612 -12.35150000
1.50267613 -12.35960000
1.55659615 -12.38350000
1.61051616 -12.42230000
1.66443618 -12.47440000
1.71835619 -12.53790000
1.77227621 -12.61050000
1.82619622 -12.68950000
1.88011624 -12.77250000
1.93403625 -12.85680000
1.98795624 -12.94010000
2.04187626 -13.02010000
2.09579627 -13.09490000
2.14971629 -13.16280000
2.20363630 -13.22260000
2.25755632 -13.27290000
2.31147633 -13.31290000
2.36539635 -13.34200000
2.41931636 -13.35970000
2.47323638 -13.36560000

0.00000000 -12.37260000
0.03773015 -12.37220000
0.07546030 -12.37110000
0.11319045 -12.36950000
0.15092061 -12.36760000
0.18865076 -12.36570000
0.22638091 -12.36420000
0.26411106 -12.36380000
0.30184121 -12.36480000
0.33957136 -12.36790000
0.37730150 -12.37390000
0.41503165 -12.38310000
0.45276181 -12.39640000
0.49049196 -12.41400000
0.52822211 -12.43640000
0.56595226 -12.46380000
0.60368241 -12.49620000
0.64141256 -12.53350000
0.67914272 -12.57540000
0.71687287 -12.62140000
0.71687287 -12.62140000
0.75539304 -12.61970000
0.79391321 -12.61470000
0.83243338 -12.60640000
0.87095355 -12.59500000
0.90947373 -12.58080000
0.94799390 -12.56410000
0.98651407 -12.54530000
1.02503424 -12.52480000
1.06355441 -12.50320000
1.10207457 -12.48100000
1.14059474 -12.45870000
1.17911491 -12.43710000
1.21763509 -12.41680000
1.25615526 -12.39830000
1.29467543 -12.38220000
1.33319560 -12.36910000
1.37171577 -12.35950000
1.41023595 -12.35350000
1.44875612 -12.35150000
1.44875612 -12.35150000
1.50267613 -12.35070000
1.55659615 -12.34840000
1.61051616 -12.34480000
1.66443618 -12.34030000
1.71835619 -12.33560000
1.77227621 -12.33120000
1.82619622 -12.32780000
1.88011624 -12.32580000
1.93403625 -12.32560000
1.98795624 -12.32740000
2.04187626 -12.33110000
2.09579627 -12.33640000
2.14971629 -12.34300000
2.20363630 -12.35010000
2.25755632 -12.35710000
2.31147633 -12.36340000
2.36539635 -12.36830000
2.41931636 -12.37150000
2.47323638 -12.37260000

0.00000000 -6.30680000
0.03773015 -6.31800000
0.07546030 -6.35080000
0.11319045 -6.40280000
0.15092061 -6.47090000
0.18865076 -6.55110000
0.22638091 -6.63930000
0.26411106 -6.73160000
0.30184121 -6.82430000
0.33957136 -6.91410000
0.37730150 -6.99820000
0.41503165 -7.07390000
0.45276181 -7.13900000
0.49049196 -7.19170000
0.52822211 -7.23060000
0.56595226 -7.25460000
0.60368241 -7.26280000
0.64141256 -7.25510000
0.67914272 -7.23110000
0.71687287 -7.19140000
0.71687287 -7.19140000
0.75539304 -7.18710000
0.79391321 -7.17450000
0.83243338 -7.15350000
0.87095355 -7.12430000
0.90947373 -7.08720000
0.94799390 -7.04260000
0.98651407 -6.99080000
1.02503424 -6.93240000
1.06355441 -6.86830000
1.10207457 -6.79930000
1.14059474 -6.72670000
1.17911491 -6.65220000
1.21763509 -6.57760000
1.25615526 -6.50550000
1.29467543 -6.43900000
1.33319560 -6.38140000
1.37171577 -6.33660000
1.41023595 -6.30790000
1.44875612 -6.29810000
1.44875612 -6.29810000
1.50267613 -6.31930000
1.55659615 -6.37870000
1.61051616 -6.46510000
1.66443618 -6.56500000
1.71835619 -6.66570000
1.77227621 -6.75690000
1.82619622 -6.83130000
1.88011624 -6.88380000
1.93403625 -6.91120000
1.98795624 -6.91220000
2.04187626 -6.88670000
2.09579627 -6.83620000
2.14971629 -6.76370000
2.20363630 -6.67430000
2.25755632 -6.57490000
2.31147633 -6.47550000
2.36539635 -6.38870000
2.41931636 -6.32850000
2.47323638 -6.30680000

0.00000000 -5.32960000
0.03773015 -5.34250000
0.07546030 -5.38050000
0.11319045 -5.44220000
0.15092061 -5.52500000
0.18865076 -5.62570000
0.22638091 -5.74070000
0.26411106 -5.86630000
0.30184121 -5.99890000
0.33957136 -6.13520000
0.37730150 -6.27220000
0.41503165 -6.40750000
0.45276181 -6.53850000
0.49049196 -6.66330000
0.52822211 -6.78010000
0.56595226 -6.88720000
0.60368241 -6.98310000
0.64141256 -7.06650000
0.67914272 -7.13620000
0.71687287 -7.19140000
0.71687287 -7.19140000
0.75539304 -7.18710000
0.79391321 -7.17450000
0.83243338 -7.15350000
0.87095355 -7.12430000
0.90947373 -7.08720000
0.94799390 -7.04260000
0.98651407 -6.99080000
1.02503424 -6.93240000
1.06355441 -6.86830000
1.10207457 -6.79930000
1.14059474 -6.72670000
1.17911491 -6.65220000
1.21763509 -6.57760000
1.25615526 -6.50550000
1.29467543 -6.43900000
1.33319560 -6.38140000
1.37171577 -6.33660000
1.41023595 -6.30790000
1.44875612 -6.29810000
1.44875612 -6.29810000
1.50267613 -6.31780000
1.55659615 -6.36760000
1.61051616 -6.42820000
1.66443618 -6.48240000
1.71835619 -6.51930000
1.77227621 -6.53290000
1.82619622 -6.52070000
1.88011624 -6.48210000
1.93403625 -6.41790000
1.98795624 -6.32990000
2.04187626 -6.22080000
2.09579627 -6.09420000
2.14971629 -5.95490000
2.20363630 -5.80910000
2.25755632 -5.66500000
2.31147633 -5.53300000
2.36539635 -5.42540000
2.41931636 -5.35440000
2.47323638 -5.32960000

0.00000000 -3.46850000
0.03773015 -3.46940000
0.07546030 -3.47090000
0.11319045 -3.47050000
0.15092061 -3.46510000
0.18865076 -3.45220000
0.22638091 -3.43020000
0.26411106 -3.39850000
0.30184121 -3.35690000
0.33957136 -3.30570000
0.37730150 -3.24570000
0.41503165 -3.17740000
0.45276181 -3.10160000
0.49049196 -3.01920000
0.52822211 -2.93100000
0.56595226 -2.83820000
0.60368241 -2.74180000
0.64141256 -2.64330000
0.67914272 -2.54450000
0.71687287 -2.44750000
0.71687287 -2.44750000
0.75539304 -2.45040000
0.79391321 -2.46170000
0.83243338 -2.49310000
0.87095355 -2.57450000
0.90947373 -2.72920000
0.94799390 -2.92750000
0.98651407 -3.13830000
1.02503424 -3.34780000
1.06355441 -3.54940000
1.10207457 -3.73960000
1.14059474 -3.91570000
1.17911491 -4.07610000
1.21763509 -4.21910000
1.25615526 -4.34340000
1.29467543 -4.44790000
1.33319560 -4.53110000
1.37171577 -4.59190000
1.41023595 -4.62900000
1.44875612 -4.64150000
1.44875612 -4.64150000
1.50267613 -4.64180000
1.55659615 -4.63790000
1.61051616 -4.62090000
1.66443618 -4.58500000
1.71835619 -4.52900000
1.77227621 -4.45390000
1.82619622 -4.36160000
1.88011624 -4.25430000
1.93403625 -4.13480000
1.98795624 -4.00560000
2.04187626 -3.87010000
2.09579627 -3.73180000
2.14971629 -3.59520000
2.20363630 -3.46500000
2.25755632 -3.43720000
2.31147633 -3.46240000
2.36539635 -3.47140000
2.41931636 -3.47040000
2.47323638 -3.46850000

0.00000000 -3.12150000
0.03773015 -3.11020000
0.07546030 -3.07710000
0.11319045 -3.03740000
0.15092061 -3.00430000
0.18865076 -2.96220000
0.22638091 -2.91110000
0.26411106 -2.85160000
0.30184121 -2.78390000
0.33957136 -2.70860000
0.37730150 -2.62630000
0.41503165 -2.53790000
0.45276181 -2.44410000
0.49049196 -2.34620000
0.52822211 -2.24560000
0.56595226 -2.15540000
0.60368241 -2.20320000
0.64141256 -2.27220000
0.67914272 -2.35540000
0.71687287 -2.44750000
0.71687287 -2.44750000
0.75539304 -2.45040000
0.79391321 -2.46170000
0.83243338 -2.49310000
0.87095355 -2.57450000
0.90947373 -2.72920000
0.94799390 -2.92750000
0.98651407 -3.13830000
1.02503424 -3.34780000
1.06355441 -3.54940000
1.10207457 -3.73960000
1.14059474 -3.91570000
1.17911491 -4.07610000
1.21763509 -4.21910000
1.25615526 -4.34340000
1.29467543 -4.44790000
1.33319560 -4.53110000
1.37171577 -4.59190000
1.41023595 -4.62900000
1.44875612 -4.64150000
1.44875612 -4.64150000
1.50267613 -4.58650000
1.55659615 -4.43200000
1.61051616 -4.20090000
1.66443618 -3.91790000
1.71835619 -3.60900000
1.77227621 -3.31230000
1.82619622 -3.10020000
1.88011624 -3.02590000
1.93403625 -3.04020000
1.98795624 -3.10190000
2.04187626 -3.18090000
2.09579627 -3.26130000
2.14971629 -3.33410000
2.20363630 -3.39390000
2.25755632 -3.34690000
2.31147633 -3.24670000
2.36539635 -3.17060000
2.41931636 -3.12610000
2.47323638 -3.12150000

0.00000000 -3.08010000
0.03773015 -3.07540000
0.07546030 -3.06110000
0.11319045 -3.02410000
0.15092061 -2.95400000
0.18865076 -2.86980000
0.22638091 -2.77510000
0.26411106 -2.67310000
0.30184121 -2.56720000
0.33957136 -2.46120000
0.37730150 -2.35980000
0.41503165 -2.26890000
0.45276181 -2.19610000
0.49049196 -2.14980000
0.52822211 -2.13600000
0.56595226 -2.14390000
0.60368241 -2.04320000
0.64141256 -1.94570000
0.67914272 -1.85410000
0.71687287 -1.77100000
0.71687287 -1.77100000
0.75539304 -1.81760000
0.79391321 -1.93880000
0.83243338 -2.09240000
0.87095355 -2.22350000
