# energy dos
-2.328269999999999840e+01 0.000000000000000000e+00
-2.324119999999999919e+01 0.000000000000000000e+00
-2.319969999999999999e+01 0.000000000000000000e+00
-2.315820000000000078e+01 0.000000000000000000e+00
-2.311679999999999779e+01 0.000000000000000000e+00
-2.307529999999999859e+01 0.000000000000000000e+00
-2.303379999999999939e+01 0.000000000000000000e+00
-2.299239999999999995e+01 0.000000000000000000e+00
-2.295090000000000074e+01 0.000000000000000000e+00
-2.290939999999999799e+01 0.000000000000000000e+00
-2.286789999999999878e+01 0.000000000000000000e+00
-2.282649999999999935e+01 0.000000000000000000e+00
-2.278500000000000014e+01 0.000000000000000000e+00
-2.274350000000000094e+01 0.000000000000000000e+00
-2.270199999999999818e+01 0.000000000000000000e+00
-2.266060000000000230e+01 0.000000000000000000e+00
-2.261909999999999954e+01 0.000000000000000000e+00
-2.257760000000000034e+01 0.000000000000000000e+00
-2.253609999999999758e+01 0.000000000000000000e+00
-2.249470000000000169e+01 0.000000000000000000e+00
-2.245320000000000249e+01 0.000000000000000000e+00
-2.241169999999999973e+01 0.000000000000000000e+00
-2.237030000000000030e+01 0.000000000000000000e+00
-2.232880000000000109e+01 0.000000000000000000e+00
-2.228730000000000189e+01 0.000000000000000000e+00
-2.224580000000000268e+01 0.000000000000000000e+00
-2.220439999999999969e+01 0.000000000000000000e+00
-2.216290000000000049e+01 0.000000000000000000e+00
-2.212140000000000128e+01 0.000000000000000000e+00
-2.207990000000000208e+01 0.000000000000000000e+00
-2.203849999999999909e+01 0.000000000000000000e+00
-2.199699999999999989e+01 0.000000000000000000e+00
-2.195550000000000068e+01 0.000000000000000000e+00
-2.191400000000000148e+01 0.000000000000000000e+00
-2.187259999999999849e+01 0.000000000000000000e+00
-2.183109999999999928e+01 0.000000000000000000e+00
-2.178960000000000008e+01 0.000000000000000000e+00
-2.174820000000000064e+01 0.000000000000000000e+00
-2.170669999999999789e+01 0.000000000000000000e+00
-2.166519999999999868e+01 0.000000000000000000e+00
-2.162369999999999948e+01 0.000000000000000000e+00
-2.158230000000000004e+01 0.000000000000000000e+00
-2.154080000000000084e+01 0.000000000000000000e+00
-2.149929999999999808e+01 0.000000000000000000e+00
-2.145779999999999887e+01 0.000000000000000000e+00
-2.141639999999999944e+01 0.000000000000000000e+00
-2.137490000000000023e+01 2.000000000000000096e-04
-2.133339999999999748e+01 1.299999999999999940e-03
-2.129189999999999827e+01 3.399999999999999811e-03
-2.125050000000000239e+01 6.599999999999999964e-03
-2.120899999999999963e+01 1.069999999999999944e-02
-2.116750000000000043e+01 1.590000000000000094e-02
-2.112610000000000099e+01 2.210000000000000159e-02
-2.108460000000000178e+01 2.939999999999999905e-02
-2.104310000000000258e+01 3.760000000000000148e-02
-2.100159999999999982e+01 4.689999999999999725e-02
-2.096020000000000039e+01 5.720000000000000084e-02
-2.091870000000000118e+01 6.850000000000000533e-02
-2.087720000000000198e+01 8.079999999999999682e-02
-2.083569999999999922e+01 9.310000000000000220e-02
-2.079429999999999978e+01 8.630000000000000171e-02
-2.075280000000000058e+01 8.200000000000000344e-02
-2.071130000000000138e+01 8.000000000000000167e-02
-2.066989999999999839e+01 8.039999999999999925e-02
-2.062839999999999918e+01 8.279999999999999860e-02
-2.058689999999999998e+01 8.550000000000000655e-02
-2.054540000000000077e+01 8.820000000000000062e-02
-2.050399999999999778e+01 9.099999999999999756e-02
-2.046249999999999858e+01 9.379999999999999449e-02
-2.042099999999999937e+01 9.660000000000000531e-02
-2.037950000000000017e+01 9.950000000000000511e-02
-2.033810000000000073e+01 1.024000000000000049e-01
-2.029659999999999798e+01 1.053000000000000047e-01
-2.025509999999999877e+01 1.082999999999999935e-01
-2.021359999999999957e+01 1.112999999999999962e-01
-2.017220000000000013e+01 1.144000000000000017e-01
-2.013070000000000093e+01 1.174999999999999933e-01
-2.008919999999999817e+01 1.205999999999999989e-01
-2.004780000000000229e+01 1.237000000000000044e-01
-2.000629999999999953e+01 1.269000000000000128e-01
-1.996480000000000032e+01 1.302000000000000102e-01
-1.992329999999999757e+01 1.333999999999999908e-01
-1.988190000000000168e+01 1.366999999999999882e-01
-1.984040000000000248e+01 1.396999999999999909e-01
-1.979889999999999972e+01 1.424999999999999878e-01
-1.975740000000000052e+01 1.449999999999999900e-01
-1.971600000000000108e+01 1.472999999999999865e-01
-1.967450000000000188e+01 1.494000000000000050e-01
-1.963300000000000267e+01 1.512999999999999901e-01
-1.959149999999999991e+01 1.529000000000000081e-01
-1.955010000000000048e+01 1.542999999999999927e-01
