polAxis,epsilon,pIon,pEle,vol,a,b,c,shift
3,-0.005,-364.54658399999994,364.70537631163717,394.8870473590302,3.3636,5.796796,20.252588,0
3,-0.004,-364.54658400000005,364.70542791589935,395.28392382974164,3.3636,5.802622,20.252588,0
3,-0.003,-364.54658399999994,364.70548064150523,395.680800300453,3.3636,5.808448,20.252588,0
3,-0.002,-364.546584,364.70552552104857,396.0776767711643,3.3636,5.814274,20.252588,0
3,-0.001,-364.546584,364.7055778469403,396.47455324187564,3.3636,5.8201,20.252588,0
3,0.0,-364.54658400000005,364.7056201623916,396.871429712587,3.3636,5.825926,20.252588,0
3,0.001,-364.54658400000005,364.70569584491267,397.2683061832983,3.3636,5.831752,20.252588,0
3,0.002,-364.54658399999994,364.7057441493727,397.66518265400975,3.3636,5.837578,20.252588,0
#3,0.003,-364.54634096894404,364.7057878079847,398.0620591247211,3.3636,5.843404,20.252588,0
3,0.004000000000000001,-364.54658400000005,364.7058355960175,398.4589355954325,3.3636,5.84923,20.252588,0
3,0.005,-364.546584,364.7058835439007,398.8557439445388,3.3636,5.855055,20.252588,0
