        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                               2.16.2-rpost1

Python version 3.10.4
Spglib version 2.0.1

Phonopy configuration was read from "conf-mesh.conf".
Crystal structure was read from "POSCAR".
Unit of length: angstrom
Mesh sampling mode
Settings:
  Sampling mesh: [8 8 8]
  Supercell: [1 1 1]
Spacegroup: P6_3/mmc (194)
Use -v option to watch primitive cell, unit cell, and supercell structures.

Forces and displacements were read from "FORCE_SETS".
Computing force constants...
Max drift of force constants: 0.010893 (zz) -0.000006 (xx)

Mesh numbers: [8 8 8]
Number of irreducible q-points on sampling mesh: 80/512
Calculating phonons on sampling mesh...
Calculating thermal properties...
Cutoff frequency: 0.00000
Number of phonon frequencies less than cutoff frequency: 0/9216
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      30.4993035      0.0000000      0.0000000     30.4993035
      10.000      30.4992122      0.0564203      0.2507070     30.4997764
      20.000      30.4964458      0.5823881      1.5371819     30.5080936
      30.000      30.4860293      1.5773659      3.6871126     30.5333503
      40.000      30.4632575      3.0659293      7.0504021     30.5858947
      50.000      30.4227938      5.1286477     11.8641139     30.6792262
      60.000      30.3585745      7.8224528     18.0918033     30.8279217
      70.000      30.2642235     11.1508284     25.4311376     31.0447815
      80.000      30.1336008     15.0652171     33.4531722     31.3388182
      90.000      29.9612397     19.4830095     41.7378133     31.7147105
     100.000      29.7425859     24.3072414     49.9466032     32.1733101
     110.000      29.4740637     29.4411193     57.8417223     32.7125868
     120.000      29.1530268     34.7964486     65.2760179     33.3286006
     130.000      28.7776509     40.2973764     72.1727435     34.0163098
     140.000      28.3468044     45.8811831     78.5048940     34.7701700
     150.000      27.8599201     51.4974808     84.2780533     35.5845422
     160.000      27.3168794     57.1066985     89.5175739     36.4539511
     170.000      26.7179121     62.6783695     94.2596138     37.3732349
     180.000      26.0635145     68.1894846     98.5451815     38.3376217
     190.000      25.3543815     73.6230310    102.4163599     39.3427574
     200.000      24.5913537     78.9667525    105.9140360     40.3847042
     210.000      23.7753746     84.2121283    109.0766333     41.4599216
     220.000      22.9074579     89.3535464    111.9394932     42.5652381
     230.000      21.9886616     94.3876428    114.5346594     43.6978195
     240.000      21.0200684     99.3127785    116.8909074     44.8551352
     250.000      20.0027704    104.1286267    119.0339103     46.0349271
     260.000      18.9378580    108.8358497    120.9864757     47.2351790
     270.000      17.8264109    113.4358464    122.7688114     48.4540895
     280.000      16.6694921    117.9305552    124.3987944     49.6900476
     290.000      15.4681431    122.3223011    125.8922295     50.9416104
     300.000      14.2233807    126.6136769    127.2630893     52.2074837
     310.000      12.9361949    130.8074518    128.5237322     53.4865049
     320.000      11.6075474    134.9065007    129.6850981     54.7776276
     330.000      10.2383709    138.9137502    130.7568815     56.0799084
     340.000       8.8295686    142.8321377    131.7476849     57.3924954
     350.000       7.3820146    146.6645805    132.6651526     58.7146178
     360.000       5.8965539    150.4139525    133.5160879     60.0455768
     370.000       4.3740031    154.0830675    134.3065558     61.3847380
     380.000       2.8151509    157.6746672    135.0419719     62.7315244
     390.000       1.2207592    161.1914127    135.7271805     64.0854102
     400.000      -0.4084364    164.6358791    136.3665222     65.4459152
     410.000      -2.0717257    168.0105524    136.9638929     66.8126007
     420.000      -3.7684228    171.3178279    137.5227957     68.1850649
     430.000      -5.4978653    174.5600100    138.0463855     69.5629390
     440.000      -7.2594134    177.7393133    138.5375088     70.9458844
     450.000      -9.0524491    180.8578636    138.9987379     72.3335895
     460.000     -10.8763750    183.9177007    139.4324011     73.7257673
     470.000     -12.7306139    186.9207801    139.8406094     75.1221527
     480.000     -14.6146077    189.8689765    140.2252797     76.5225010
     490.000     -16.5278165    192.7640861    140.5881554     77.9265857
     500.000     -18.4697182    195.6078300    140.9308243     79.3341968
     510.000     -20.4398074    198.4018570    141.2547350     80.7451397
     520.000     -22.4375949    201.1477467    141.5612107     82.1592334
     530.000     -24.4626069    203.8470127    141.8514618     83.5763098
     540.000     -26.5143846    206.5011052    142.1265972     84.9962123
     550.000     -28.5924831    209.1114143    142.3876340     86.4187948
     560.000     -30.6964714    211.6792722    142.6355065     87.8439211
     570.000     -32.8259313    214.2059565    142.8710739     89.2714639
     580.000     -34.9804573    216.6926923    143.0951273     90.7013042
     590.000     -37.1596559    219.1406549    143.3083961     92.1333305
     600.000     -39.3631449    221.5509722    143.5115535     93.5674384
     610.000     -41.5905535    223.9247269    143.7052216     95.0035299
     620.000     -43.8415211    226.2629584    143.8899762     96.4415131
     630.000     -46.1156976    228.5666652    144.0663500     97.8813015
     640.000     -48.4127425    230.8368068    144.2348376     99.3228138
     650.000     -50.7323249    233.0743053    144.3958974    100.7659735
     660.000     -53.0741228    235.2800473    144.5499556    102.2107085
     670.000     -55.4378228    237.4548857    144.6974086    103.6569506
     680.000     -57.8231202    239.5996412    144.8386254    105.1046358
     690.000     -60.2297180    241.7151036    144.9739496    106.5537035
     700.000     -62.6573272    243.8020335    145.1037019    108.0040963
     710.000     -65.1056660    245.8611633    145.2281815    109.4557600
     720.000     -67.5744601    247.8931991    145.3476680    110.9086433
     730.000     -70.0634420    249.8988212    145.4624230    112.3626975
     740.000     -72.5723507    251.8786857    145.5726912    113.8178768
     750.000     -75.1009319    253.8334255    145.6787017    115.2741372
     760.000     -77.6489375    255.7636511    145.7806694    116.7314373
     770.000     -80.2161252    257.6699519    145.8787959    118.1897378
     780.000     -82.8022587    259.5528971    145.9732704    119.6490011
     790.000     -85.4071071    261.4130364    146.0642708    121.1091916
     800.000     -88.0304452    263.2509008    146.1519642    122.5702755
     810.000     -90.6720526    265.0670037    146.2365081    124.0322204
     820.000     -93.3317143    266.8618414    146.3180504    125.4949956
     830.000     -96.0092201    268.6358940    146.3967309    126.9585719
     840.000     -98.7043645    270.3896257    146.4726811    128.4229211
     850.000    -101.4169464    272.1234861    146.5460252    129.8880168
     860.000    -104.1467694    273.8379102    146.6168803    131.3538333
     870.000    -106.8936412    275.5333192    146.6853574    132.8203465
     880.000    -109.6573738    277.2101213    146.7515610    134.2875329
     890.000    -112.4377830    278.8687117    146.8155902    135.7553704
     900.000    -115.2346886    280.5094738    146.8775387    137.2238378
     910.000    -118.0479143    282.1327789    146.9374953    138.6929146
     920.000    -120.8772872    283.7389875    146.9955440    140.1625813
     930.000    -123.7226382    285.3284490    147.0517645    141.6328194
     940.000    -126.5838015    286.9015024    147.1062325    143.1036108
     950.000    -129.4606146    288.4584769    147.1590198    144.5749384
     960.000    -132.3529185    289.9996920    147.2101944    146.0467858
     970.000    -135.2605570    291.5254579    147.2598212    147.5191371
     980.000    -138.1833771    293.0360759    147.3079617    148.9919773
     990.000    -141.1212290    294.5318390    147.3546743    150.4652916
    1000.000    -144.0739654    296.0130315    147.4000148    151.9390662

Summary of calculation was written in "phonopy.yaml".
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

