        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                      2.16.3

Python version 3.10.6
Spglib version 2.0.1

Phonopy configuration was read from "conf-mesh.conf".
Crystal structure was read from "POSCAR".
Unit of length: angstrom
Mesh sampling mode
Settings:
  Sampling mesh: [15 15  1]
  Supercell: [1 1 1]
Spacegroup: P-6m2 (187)
Use -v option to watch primitive cell, unit cell, and supercell structures.

Forces and displacements were read from "FORCE_SETS".
Computing force constants...
Max drift of force constants: -0.003621 (zz) -0.000003 (xx)

Mesh numbers: [15 15  1]
Number of irreducible q-points on sampling mesh: 27/225
Calculating phonons on sampling mesh...
Calculating thermal properties...
Cutoff frequency: 0.00000
Number of phonon frequencies less than cutoff frequency: 3/2025
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000       8.2026188      0.0000000      0.0000000      8.2026188
      10.000       8.2022505      0.1669120      0.5100979      8.2039196
      20.000       8.1966287      1.1181133      2.9721128      8.2189910
      30.000       8.1757102      3.3035112      8.6926358      8.2748155
      40.000       8.1260556      6.8225105     16.2640337      8.3989560
      50.000       8.0361216     11.2844851     23.9463971      8.6003459
      60.000       7.8985855     16.2847938     30.9813536      8.8756731
      70.000       7.7096072     21.5340396     37.1282703      9.2169900
      80.000       7.4677110     26.8437298     42.3693980      9.6152094
      90.000       7.1729275     32.0965109     46.7821877     10.0616135
     100.000       6.8262066     37.2225510     50.4775912     10.5484617
     110.000       6.4290308     42.1829528     53.5696924     11.0691556
     120.000       5.9831649     46.9585608     56.1622677     11.6181922
     130.000       5.4904990     51.5425768     58.3442525     12.1910340
     140.000       4.9529500     55.9357595     60.1894937     12.7839563
     150.000       4.3724028     60.1433392     61.7582902     13.3939036
     160.000       3.7506762     64.1730514     63.0994770     14.0183644
     170.000       3.0895047     68.0338947     64.2524872     14.6552668
     180.000       2.3905296     71.7353565     65.2491698     15.3028938
     190.000       1.6552971     75.2869391     66.1153077     15.9598155
     200.000       0.8852596     78.6978772     66.8718474     16.6248350
     210.000       0.0817790     81.9769786     67.5358807     17.2969445
     220.000      -0.7538683     85.1325433     68.1214206     17.9752912
     230.000      -1.6204860     88.1723304     68.6400146     18.6591500
     240.000      -2.5169531     91.1035563     69.1012266     19.3479004
     250.000      -3.4422176     93.9329102     69.5130188     20.0410099
     260.000      -4.3952924     96.6665800     69.8820532     20.7380184
     270.000      -5.3752494     99.3102837     70.2139313     21.4385272
     280.000      -6.3812158    101.8693031     70.5133856     22.1421890
     290.000      -7.4123695    104.3485165     70.7844331     22.8487003
     300.000      -8.4679352    106.7524322     71.0304983     23.5577945
     310.000      -9.5471811    109.0852190     71.2545132     24.2692368
     320.000     -10.6494154    111.3507345     71.4589987     24.9828197
     330.000     -11.7739835    113.5525528     71.6461305     25.6983590
     340.000     -12.9202652    115.6939880     71.8177936     26.4156908
     350.000     -14.0876722    117.7781171     71.9756272     27.1346688
     360.000     -15.2756461    119.8078001     72.1210613     27.8551620
     370.000     -16.4836556    121.7856986     72.2553480     28.5770528
     380.000     -17.7111957    123.7142925     72.3795867     29.3002355
     390.000     -18.9577849    125.5958954     72.4947461     30.0246143
     400.000     -20.2229642    127.4326679     72.6016818     30.7501030
     410.000     -21.5062955    129.2266308     72.7011520     31.4766231
     420.000     -22.8073604    130.9796758     72.7938302     32.2041034
     430.000     -24.1257586    132.6935759     72.8803160     32.9324791
     440.000     -25.4611070    134.3699952     72.9611452     33.6616909
     450.000     -26.8130388    136.0104966     73.0367970     34.3916847
     460.000     -28.1812021    137.6165503     73.1077012     35.1224110
     470.000     -29.5652596    139.1895400     73.1742446     35.8538242
     480.000     -30.9648871    140.7307700     73.2367752     36.5858825
